ISRC,Revenue_EUR,Revenue_Percentage,Total_Streams,Platforms_Count,Avg_Per_Stream,Rank
US83Z2005182,1126.01,4.6%,185,1,6.0865,1
DEBE72100449,620.38,2.6%,44,1,14.0995,2
DEBE72100444,510.18,2.1%,162,1,3.1493,3
DEBE72200332,501.64,2.1%,107,1,4.6883,4
DEBE72300408,402.64,1.7%,150,1,2.6843,5
US83Z2014031,142.72,0.6%,117,1,1.2199,6
US83Z2005180,110.70,0.5%,101,1,1.0960,7
DEBE72300296,94.75,0.4%,77,1,1.2306,8
DEBE72300324,83.73,0.3%,47,1,1.7814,9
DEBE72300762,72.53,0.3%,133,1,0.5453,10
DEBE72300349,58.86,0.2%,116,1,0.5074,11
US83Z2014033,57.49,0.2%,102,1,0.5636,12
DEBE72300763,52.19,0.2%,127,1,0.4110,13
DEBE72300485,50.32,0.2%,105,1,0.4793,14
DEBE72400226,48.24,0.2%,100,1,0.4824,15
DEBE72200335,45.91,0.2%,68,1,0.6752,16
US83Z2005181,45.83,0.2%,106,1,0.4323,17
DEBE72300812,44.50,0.2%,103,1,0.4320,18
DEBE72200796,42.42,0.2%,205,1,0.2069,19
DEBE72200334,40.55,0.2%,70,1,0.5792,20
