year,quarter,currency,net_amount
2015,3,USD,81.11000000000001
2015,4,USD,153.95
2016,1,USD,215.9799999999999
2016,2,USD,147.17
2016,3,USD,556.7900000000002
2016,4,USD,584.1699999999998
2017,1,USD,955.5100000000001
2017,2,USD,843.8100000000002
2017,3,USD,1247.8599999999997
2017,4,USD,865.7399999999998
2018,1,USD,1997.4199999999994
2018,2,USD,1611.5400000000009
2018,3,USD,1328.5
2018,4,USD,1556.6899999999991
2019,1,USD,976.9499999999997
2019,2,USD,811.43
2019,3,USD,738.2299999999997
2019,4,USD,1219.18
2020,1,USD,858.8500000000001
2020,2,USD,668.8500000000004
2020,3,USD,1250.8299999999995
2020,4,USD,779.1199999999998
2021,1,USD,734.5100000000002
2021,2,USD,709.9400000000003
2021,3,USD,1119.6300000000006
2021,4,USD,792.9000000000003
2022,1,USD,395.9800000000001
2022,2,USD,396.45000000000005
2022,3,USD,500.31
2022,4,USD,405.3299999999998
2023,1,USD,456.3900000000001
2023,2,USD,418.5800000000001
2023,3,USD,386.6399999999999
2023,4,USD,755.6800000000006
2024,1,USD,558.9699999999999
2024,2,USD,605.7300000000001
2024,3,USD,462.5199999999999
2024,4,USD,489.7699999999999
2025,1,USD,570.58
2025,2,USD,421.8200000000001
2025,3,USD,112.41999999999999
