Period,Period Sold,Code-Licensor,Name Licensor,CC,Label,LC,Artist,Title,EAN,ISRC,Label Order-Nr,Provider,Shop,Content,Country,Retail Price,Retail Price Currency,Publ.-%,Publ.-min,Publ.a piece,Publ.-EUR,Income,Share %,Share EUR,Sales,Revenue-EUR,Rev.less Publ.EUR
2022-10,2022-08,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,spotify Merlin,Spotify,Subscription,GB,0,GBP,0,0,0,0,0.006617605,86,0.00569114,2,0.011382281,0.011382281
2022-10,2022-08,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,spotify Merlin,Spotify,Subscription,IL,0,EUR,0,0,0,0,0.000199627,86,0.000171679,2,0.000343358,0.000343358
2022-10,2022-08,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,spotify Merlin,Spotify,Subscription,IL,0,EUR,0,0,0,0,0.003812776,86,0.003278987,1,0.003278987,0.003278987
2022-10,2022-08,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,spotify Merlin,Spotify,Subscription,IL,0,EUR,0,0,0,0,0.004701598,86,0.004043374,9,0.036390369,0.036390369
2022-10,2022-08,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,spotify Merlin,Spotify,Subscription,IL,0,EUR,0,0,0,0,0.002258021,86,0.001941898,1,0.001941898,0.001941898
2022-10,2022-08,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,spotify Merlin,Spotify,Subscription,IT,0,EUR,0,0,0,0,0.0029839,86,0.002566154,1,0.002566154,0.002566154
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube (Art Tracks),Subscription,TR,0,USD,0,0,0,0,0.000938118,86,0.000806781,1,0.000806781,0.000806781
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube,Subscription,IL,0,USD,0,0,0,0,0,86,0,1,0,0
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube,Subscription,IL,0,USD,0,0,0,0,0,86,0,1,0,0
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube,Subscription,IL,0,USD,0,0,0,0,0,86,0,1,0,0
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube,Subscription,DE,0,USD,0,0,0,0,0,86,0,1,0,0
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube,Subscription,IL,0,USD,0,0,0,0,0,86,0,2,0,0
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube,Subscription,BR,0,USD,0,0,0,0,0,86,0,1,0,0
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube,Subscription,NL,0,USD,0,0,0,0,0,86,0,1,0,0
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube,Subscription,BR,0,USD,0,0,0,0,0,86,0,1,0,0
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube,Subscription,IL,0,USD,0,0,0,0,0,86,0,2,0,0
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube,Subscription,IL,0,USD,0,0,0,0,0,86,0,1,0,0
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube,Subscription,BR,0,USD,0,0,0,0,0,86,0,1,0,0
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube,Subscription,IL,0,USD,0,0,0,0,0,86,0,1,0,0
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube,Subscription,IL,0,USD,0,0,0,0,0,86,0,2,0,0
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube,Subscription,FR,0,USD,0,0,0,0,0,86,0,1,0,0
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube,Subscription,IL,0,USD,0,0,0,0,0,86,0,7,0,0
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube,Subscription,IL,0,USD,0,0,0,0,0,86,0,1,0,0
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube (Art Tracks),Subscription,AR,0,USD,0,0,0,0,0,86,0,1,0,0
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube (Art Tracks),Subscription,PE,0,USD,0,0,0,0,0,86,0,1,0,0
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube (Art Tracks),Subscription,TR,0,USD,0,0,0,0,0,86,0,1,0,0
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube (Art Tracks),Subscription,VE,0,USD,0,0,0,0,0,86,0,1,0,0
2022-10,2022-09,602,Get Physical Music GmbH,36,Tropical Twista Records,99999,Dos Kanye feat. Shaman Shaman,Contraa,844216054460,DEBE72100448,TTR069,youtube music,YouTube (Art Tracks),Subscription,SI,0,USD,0,0,0,0,0,86,0,1,0,0
