Label Name,Catalog,Release Artist,Release Name,Track Artist,Track Title,Mix Name,Format,Sale Type,Qty,Value,Deal,Royalty,ISRC,EAN,Store Name
Tropical Twista Records,,TEST,Test,BirdZzie,Diabo A Sete - En Tu Puerta Estamos Cuatro,BirdZzie Remix,Stream,Track,194,3.5242414396848,0.95,3.3480293677005,QZNRS2038186,,SoundCloud
Tropical Twista Records,,TEST,Test,Kurup,Oasis,Original Mix,Stream,Track,1,0.00223022867608,0.95,0.002118717242276,QZHPJ2264281,,SoundCloud
Tropical Twista Records,,TEST,Test,Gonz Cabrera,Pedacitos,Original Mix,Stream,Track,18,0.43164608291842,0.95,0.4100637787725,QZKDK2389020,,SoundCloud
Tropical Twista Records,,TEST,Test,Antonio Carlos & Jocafi,Ossain,Nirso Remix,Stream,Track,2,0.00209593654682,0.95,0.001991139719479,QZNRS2038376,,SoundCloud
Tropical Twista Records,,TEST,Test,Yaguareté,Villa-Lobos - Bachianas Brasileiras N5,Yaguareté Rework,Stream,Track,6,0.04849742689067,0.95,0.046072555546136,QZJRB1957380,,SoundCloud
Tropical Twista Records,,TEST,Test,Maria Bethânia,As Ayabás,Francis Etto - All is Axé Edit,Stream,Track,8,0.23959106507936,0.95,0.22761151182539,QZJRB1957344,,SoundCloud
Tropical Twista Records,,TEST,Test,Eve Hive,Festa Na Floresta,Original Mix,Stream,Track,2,0.02249190217392,0.95,0.021367307065224,QZH5E2208194,,SoundCloud
Tropical Twista Records,,TEST,Test,Virginia Rodrigues,Negrume Da Noite,AIWAA Edit,Stream,Track,11,0.16158047135007,0.95,0.15350144778257,QZNRS2038209,,SoundCloud
Tropical Twista Records,,TEST,Test,Cantina Y Su Combo,Santa Marta Cumbia,Nacho Libre Remix,Stream,Track,3,0.00158797181989,0.95,0.0015085732288955,QZNRS2038336,,SoundCloud
Tropical Twista Records,,TEST,Test,Hajna,Spiral Surf,Original Mix,Stream,Track,14,0.13696973255395,0.95,0.13012124592625,QZTH92357831,,SoundCloud
Tropical Twista Records,,TEST,Test,DJ Danifox,Selva de Metal,Original Mix,Stream,Track,41,0.02344547758548,0.95,0.022273203706206,QZHPJ2264277,,SoundCloud
Tropical Twista Records,,TEST,Test,Numa Gama,Engarrafados,Original Mix,Stream,Track,1,0.00027172483734,0.95,0.000258138595473,QZHPJ2264273,,SoundCloud
Tropical Twista Records,,TEST,Test,Mandruvá,Écrasez L’infâme,Original Mix,Stream,Track,3,0.11507968315288,0.95,0.10932569899524,QZHZD2269594,,SoundCloud
